time,value
0:00:00,591
0:10:00,592
0:20:00,592
0:30:00,592
0:40:00,591
0:50:00,592
1:00:00,592
1:10:00,592
1:20:00,592
1:30:00,591
1:40:00,592
1:50:00,592
2:00:00,592
2:10:00,591
2:20:00,592
2:30:00,592
2:40:00,592
2:50:00,591
3:00:00,592
3:10:00,592
3:20:00,592
3:30:00,592
3:40:00,591
3:50:00,592
4:00:00,592
4:10:00,592
4:20:00,591
4:30:00,592
4:40:00,592
4:50:00,592
5:00:00,591
5:10:00,592
5:20:00,592
5:30:00,591
5:40:00,592
5:50:00,590
6:00:00,591
6:10:00,592
6:20:00,592
6:30:00,592
6:40:00,591
6:50:00,592
7:00:00,592
7:10:00,592
7:20:00,591
7:30:00,592
7:40:00,592
7:50:00,592
8:00:00,592
8:10:00,590
8:20:00,592
8:30:00,592
8:40:00,592
8:50:00,591
9:00:00,592
9:10:00,591
9:20:00,590
9:30:00,591
9:40:00,592
9:50:00,591
10:00:00,597
10:10:00,607
10:20:00,591
10:30:00,595
10:40:00,604
10:50:00,594
11:00:00,596
11:10:00,589
11:20:00,591
11:30:00,589
11:40:00,588
11:50:00,592
12:00:00,592
12:10:00,591
12:20:00,594
12:30:00,591
12:40:00,591
12:50:00,592
13:00:00,592
13:10:00,595
13:20:00,592
13:30:00,594
13:40:00,592
13:50:00,590
14:00:00,595
14:10:00,591
14:20:00,591
14:30:00,595
14:40:00,603
14:50:00,593
15:00:00,591
15:10:00,592
15:20:00,591
15:30:00,592
15:40:00,599
15:50:00,596
16:00:00,601
16:10:00,589
16:20:00,586
16:30:00,572
16:40:00,572
16:50:00,594
17:00:00,605
17:10:00,594
17:20:00,606
17:30:00,600
17:40:00,605
17:50:00,592
18:00:00,596
18:10:00,595
18:20:00,604
18:30:00,597
18:40:00,599
18:50:00,591
19:00:00,603
19:10:00,597
19:20:00,591
19:30:00,591
19:40:00,591
19:50:00,591
20:00:00,592
20:10:00,595
20:20:00,596
20:30:00,594
20:40:00,592
20:50:00,595
21:00:00,592
21:10:00,591
21:20:00,595
21:30:00,592
21:40:00,592
21:50:00,603
22:00:00,591
22:10:00,598
22:20:00,591
22:30:00,592
22:40:00,592
22:50:00,686
23:00:00,1092
23:10:00,1182
23:20:00,1184
23:30:00,1184
23:40:00,1183
23:50:00,678
